MES;CLIENTE;LINEA_RENOVADO;PLAZO_RENOVADO;FLAG_VENTA;USO_LINEA_TOTAL_TC_T2;USO_TRIM_LINEA_BBVA;NR_ENTIDADES_TOTAL_T2;DIFF_NRO_ENTIDA_TOTALES_T2_T12;SDO_CONSUMO_T2;RESENCIA_OFERTA_PLD_RENOVADO;Ahorro_Sldo_Bco_T1;PConsumo_Sldo_Bco_T1;SDO_BCO_tot_sm_pasivo_Bco_6M;EDAD;SEXO;EST_CIVIL;ANTIGUEDAD_MES;REGION;FLAG_LIMA_PROVINCIA;SUELDO_ESTIMADO;CUBRIR_DEUDA_CONSUMO_SF_RENOVA_PLD
201505;92;16705;36;0;0.038674;0;2;0;8826.35;20;0;17544;11554.5;33;F;S;154;LIMA ESTE;1;1700;0.528365
201505;93;14277;30;0;0.175247;0;2;0;9543.05;11;56;15782;18367.33333;33;M;S;117;LIMA PROVINCIA;1;4664;0.668421
201505;94;41849;36;0;0.154508;0;4;-1;27994.24;;216;50146;362.666666;34;M;S;55;SUR;0;750;0.668934
201505;95;7280;36;0;0.326764;0;2;-1;2155.27;21;382;2102;259.5;33;M;S;49;LIMA PROVINCIA;1;2286;0.296053
201505;96;7800;24;0;0.01187;0;2;0;7543.67;;6460;9826;9136.166666;33;M;S;78;LIMA ESTE;1;3633;0.967137
201505;97;17810;36;0;0.111424;0.820628;3;1;14166.29;11;338;20426;622.333333;33;M;S;34;LIMA ESTE;1;4500;0.795412
201505;98;19110;36;0;;;1;0;2986.21;;23300;6066;39460;33;M;S;164;LIMA NORTE;1;3671;0.156264
201505;99;16900;30;0;0.059333;0.145166;2;-1;11223.12;;3334;20692;15792.5;34;F;S;158;NORTE;0;4536;0.664089
201505;100;7540;36;0;0.433747;0.48923;2;0;6328.39;;1110;7790;1164.166666;34;M;S;119;NORTE;0;1893;0.839309
201505;101;15607;36;1;;;3;0;16213.94;6;2906;4452;3324.166666;33;M;S;91;LIMA SUR;1;4361;1.03889
201505;102;19500;12;0;0;0;2;-2;5415.73;20;10;11778;10;36;M;S;60;CENTRO;0;2400;0.277729
201505;103;10400;36;0;0;0;1;2;7246.51;11;2854;14712;1640.666666;35;M;C;55;CENTRO;0;4564;0.696779
